BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
McNab,,Herding,Herding,23,"Friendly, Hard-working, Obedient, Protective, Sociable, Well-mannered",no,,,,,,,,McNab
Miniature Pinscher,,Toy,Companion,5,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",no,,,,,,,,Miniature Pinscher
Mountain Cur,,Working,Scenthound,20,"Intelligent, Protective",yes,,,,,,,,Mountain Cur
Mountain Dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",yes,,,,,,,,Mountain Dog
Mudhold Hound,,,,,,,,,,,,,,Mudhold Hound
Munsterlander,,Sporting,Gun,20,"Intelligent, Trainable, Attentive, Mischevious",no,,,,,,,,Munsterlander
Neapolitan Mastiff,,Working,Guardian,60,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",yes,,,,,,,,Neapolitan Mastiff
New Guinea Singing Dog,,Southern,Southern,11,"Active, Affectionate, Alert, Gentle, Lively",no,,,,,,,,New Guinea Singing Dog
Newfoundland Dog,Newfoundland,Working,Guardian,65,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",yes,,,,,,,,Newfoundland Dog
Norfolk Terrier,,Terrier,Terrier,5,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",no,,,,,,,,Norfolk Terrier
Norwegian Buhund,,Herding,Northern,16,"Agile, Courageous, Energetic, Friendly, Fun-loving",yes,,,,,,,,Norwegian Buhund
Norwegian Elkhound,,Hound,Northern,26,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",yes,,,,,,,,Norwegian Elkhound
Norwegian Lundehund,,Non Sporting,Northern,8,"Alert, Energetic, Loyal, Protective",yes,,,,,,,,Norwegian Lundehund
Norwich Terrier,,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",no,,,,,,,,Norwich Terrier
Nova Scotia Duck-Tolling Retriever,,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",yes,,,,,,,,Nova Scotia Duck-Tolling Retriever
Old English Sheepdog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",yes,,,,,,,,Old English Sheepdog
Otterhound,,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",no,,,,,,,,Otterhound
Pandikona,,,,,,yes,,,,,,,,Pandikona
Papillon,,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",no,,,,,,,,Papillon
Patterdale Terrier (Fell Terrier),,Terrier,Terrier,6,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",no,,,,,,,,Patterdale Terrier (Fell Terrier)
Pekingese,,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",no,,,,,,,,Pekingese
Peruvian Inca Orchid,,Hound,Sight,10,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",yes,,,,,,,,Peruvian Inca Orchid
